match_id,datetime,league,home_team_id,home_team_name,home_team_name_short,away_team_id,away_team_name,away_team_name_short,home_team_goals,away_team_goals,home_team_xG,away_team_xG,win_forecast,draw_forecast,loss_forecast
2,2024-09-21 14:00:00,EPL,75,Leicester,LEI,72,Everton,EVE,1,1,1.33793,1.82377,0.2591,0.2621,0.4788
2,2024-09-21 14:00:00,EPL,87,Liverpool,LIV,73,Bournemouth,BOU,3,0,2.43731,1.46979,0.597,0.2063,0.1967
2,2024-09-21 14:00:00,EPL,228,Fulham,FLH,86,Newcastle United,NEW,3,1,3.21141,1.09768,0.8274,0.1124,0.0602
2,2024-09-21 14:00:00,EPL,71,Aston Villa,AVL,229,Wolverhampton Wanderers,WOL,3,1,2.37351,0.520117,0.8449,0.1134,0.0417
2,2024-09-21 14:00:00,EPL,82,Tottenham,TOT,244,Brentford,BRE,3,1,3.89481,0.893565,0.9397,0.0464,0.0139
2,2024-09-21 16:30:00,EPL,78,Crystal Palace,CRY,89,Manchester United,MUN,0,0,1.66928,2.35056,0.2248,0.2317,0.5435
2,2024-09-22 13:00:00,EPL,220,Brighton,BRI,249,Nottingham Forest,NOT,2,2,1.56836,1.36923,0.3886,0.31,0.3014
2,2024-09-22 15:30:00,EPL,88,Manchester City,MCI,83,Arsenal,ARS,2,2,2.75588,1.28411,0.72,0.1782,0.1018
2,2024-09-28 11:30:00,EPL,86,Newcastle United,NEW,88,Manchester City,MCI,1,1,1.34344,1.26516,0.3867,0.2946,0.3187
2,2024-09-28 14:00:00,EPL,249,Nottingham Forest,NOT,228,Fulham,FLH,0,1,0.614351,1.43592,0.1181,0.2591,0.6228
2,2024-09-28 14:00:00,EPL,72,Everton,EVE,78,Crystal Palace,CRY,2,1,1.10959,1.12358,0.3388,0.3145,0.3467
2,2024-09-28 14:00:00,EPL,83,Arsenal,ARS,75,Leicester,LEI,4,2,6.05305,0.337909,0.9988,0.0009,0.0003
2,2024-09-28 14:00:00,EPL,244,Brentford,BRE,81,West Ham,WHU,1,1,0.370222,0.878617,0.1512,0.3899,0.4589
